County,State,3/15~4/30,3/15~5/31
Boone,Kentucky,6,3
Bourbon,Kentucky,6,3
Boyd,Kentucky,4,2
Boyle,Kentucky,12,10
Bracken,Kentucky,12,10
Breathitt,Kentucky,12,10
Breckinridge,Kentucky,12,8
Bullitt,Kentucky,6,3
Butler,Kentucky,6,6
Caldwell,Kentucky,12,10
Calloway,Kentucky,9,2
Campbell,Kentucky,6,3
Carlisle,Kentucky,0,3
Carroll,Kentucky,12,10
Carter,Kentucky,12,10
Casey,Kentucky,0,10
Christian,Kentucky,4,2
Clark,Kentucky,12,10
Clay,Kentucky,0,10
Clinton,Kentucky,12,10
Crittenden,Kentucky,4,2
Cumberland,Kentucky,12,10
Daviess,Kentucky,9,2
Edmonson,Kentucky,12,5
Elliott,Kentucky,0,0
Estill,Kentucky,0,0
Fayette,Kentucky,4,3
Fleming,Kentucky,0,10
Floyd,Kentucky,12,10
Franklin,Kentucky,12,10
Fulton,Kentucky,0,10
Gallatin,Kentucky,0,8
Garrard,Kentucky,0,10
Grant,Kentucky,5,1
Graves,Kentucky,6,5
Grayson,Kentucky,4,5
Green,Kentucky,12,11
Greenup,Kentucky,12,10
Hancock,Kentucky,12,10
Hardin,Kentucky,12,8
Harlan,Kentucky,0,0
Harrison,Kentucky,12,10
Hart,Kentucky,12,10
Henderson,Kentucky,10,2
Henry,Kentucky,12,10
Hickman,Kentucky,0,10
Hopkins,Kentucky,5,6
Jackson,Kentucky,6,5
Jefferson,Kentucky,6,1
Jessamine,Kentucky,12,10
Johnson,Kentucky,12,10
Kenton,Kentucky,5,1
Knott,Kentucky,0,10
Knox,Kentucky,0,10
Larue,Kentucky,12,10
Laurel,Kentucky,10,8
Lawrence,Kentucky,12,10
Lee,Kentucky,0,0
Leslie,Kentucky,12,10
Letcher,Kentucky,12,10
Lewis,Kentucky,12,11
Lincoln,Kentucky,0,2
Livingston,Kentucky,0,10
Logan,Kentucky,12,2
Lyon,Kentucky,6,5
McCracken,Kentucky,9,2
McCreary,Kentucky,12,11
McLean,Kentucky,5,1
Madison,Kentucky,10,7
Magoffin,Kentucky,0,0
Marion,Kentucky,12,10
Marshall,Kentucky,12,8
Martin,Kentucky,12,10
Mason,Kentucky,12,10
Meade,Kentucky,6,3
Menifee,Kentucky,12,10
Mercer,Kentucky,12,10
Metcalfe,Kentucky,0,0
Monroe,Kentucky,12,10
Montgomery,Kentucky,12,10
Morgan,Kentucky,0,10
Muhlenberg,Kentucky,7,1
Nelson,Kentucky,12,12
Nicholas,Kentucky,12,10
Ohio,Kentucky,12,10
Oldham,Kentucky,12,8
Owen,Kentucky,0,0
Owsley,Kentucky,0,10
Pendleton,Kentucky,12,10
Perry,Kentucky,12,10
Pike,Kentucky,10,2
Powell,Kentucky,12,10
Pulaski,Kentucky,9,8
Robertson,Kentucky,0,0
Rockcastle,Kentucky,12,10
Rowan,Kentucky,0,10
Russell,Kentucky,4,5
Scott,Kentucky,12,10
Shelby,Kentucky,10,1
Simpson,Kentucky,6,3
Spencer,Kentucky,12,10
Taylor,Kentucky,12,12
Todd,Kentucky,12,10
Trigg,Kentucky,0,10
Trimble,Kentucky,0,10
Union,Kentucky,12,10
Warren,Kentucky,12,8
Washington,Kentucky,12,10
Wayne,Kentucky,12,10
Webster,Kentucky,12,10
Whitley,Kentucky,12,10
Wolfe,Kentucky,0,0
Woodford,Kentucky,8,8
Acadia,Louisiana,6,1
Allen,Louisiana,5,1
Ascension,Louisiana,5,6
Assumption,Louisiana,4,5
Avoyelles,Louisiana,4,5
Beauregard,Louisiana,4,2
Bienville,Louisiana,5,1
Bossier,Louisiana,6,5
Caddo,Louisiana,5,6
Calcasieu,Louisiana,6,5
Caldwell,Louisiana,12,10
Cameron,Louisiana,12,10
Catahoula,Louisiana,5,1
Claiborne,Louisiana,5,5
Concordia,Louisiana,6,1
De Soto,Louisiana,5,6
East Baton Rouge,Louisiana,5,6
East Carroll,Louisiana,12,10
East Feliciana,Louisiana,5,6
Evangeline,Louisiana,2,8
Franklin,Louisiana,6,1
Grant,Louisiana,12,8
Iberia,Louisiana,6,6
Iberville,Louisiana,5,6
Jackson,Louisiana,10,6
Jefferson,Louisiana,5,6
Jefferson Davis,Louisiana,6,5
Lafayette,Louisiana,4,2
Lafourche,Louisiana,5,6
LaSalle,Louisiana,12,8
Lincoln,Louisiana,4,5
Livingston,Louisiana,4,5
Madison,Louisiana,12,10
Morehouse,Louisiana,6,1
Natchitoches,Louisiana,10,5
Orleans,Louisiana,5,6
Ouachita,Louisiana,6,1
Plaquemines,Louisiana,5,6
Pointe Coupee,Louisiana,5,6
Rapides,Louisiana,6,1
Red River,Louisiana,5,6
Richland,Louisiana,12,2
Sabine,Louisiana,10,8
St. Bernard,Louisiana,5,6
St. Charles,Louisiana,5,6
St. Helena,Louisiana,4,3
St. James,Louisiana,5,1
St. John the Baptist,Louisiana,5,6
St. Landry,Louisiana,5,6
St. Martin,Louisiana,5,6
St. Mary,Louisiana,6,6
St. Tammany,Louisiana,5,6
Tangipahoa,Louisiana,6,5
Tensas,Louisiana,13,10
Terrebonne,Louisiana,5,6
Union,Louisiana,6,1
Vermilion,Louisiana,6,2
Vernon,Louisiana,11,2
Washington,Louisiana,5,1
Webster,Louisiana,6,1
West Baton Rouge,Louisiana,5,6
West Carroll,Louisiana,12,10
West Feliciana,Louisiana,4,5
Winn,Louisiana,5,1
Androscoggin,Maine,10,2
Aroostook,Maine,12,12
Cumberland,Maine,4,3
Franklin,Maine,10,8
Hancock,Maine,12,9
Kennebec,Maine,9,2
Knox,Maine,12,10
Lincoln,Maine,12,10
Oxford,Maine,12,10
Penobscot,Maine,12,12
Piscataquis,Maine,0,10
Sagadahoc,Maine,10,12
Somerset,Maine,12,10
Waldo,Maine,6,5
Washington,Maine,12,10
York,Maine,10,8
Allegany,Maryland,4,2
Anne Arundel,Maryland,6,1
Baltimore,Maryland,6,5
Calvert,Maryland,4,3
Caroline,Maryland,12,10
Carroll,Maryland,6,1
Cecil,Maryland,4,3
Charles,Maryland,6,6
Dorchester,Maryland,4,3
Frederick,Maryland,6,1
Garrett,Maryland,12,10
Harford,Maryland,10,3
Howard,Maryland,6,3
Kent,Maryland,6,6
Montgomery,Maryland,6,1
Prince George's,Maryland,5,1
Queen Anne's,Maryland,4,3
St. Mary's,Maryland,10,3
Somerset,Maryland,2,8
Talbot,Maryland,8,2
Washington,Maryland,10,2
Wicomico,Maryland,5,1
Worcester,Maryland,10,2
Baltimore City,Maryland,6,1
Barnstable,Massachusetts,4,5
Berkshire,Massachusetts,6,5
Bristol,Massachusetts,5,6
Dukes,Massachusetts,0,0
Essex,Massachusetts,5,6
Franklin,Massachusetts,5,6
Hampden,Massachusetts,5,6
Hampshire,Massachusetts,6,6
Middlesex,Massachusetts,5,6
Nantucket,Massachusetts,0,0
Norfolk,Massachusetts,5,6
Plymouth,Massachusetts,5,6
Suffolk,Massachusetts,5,6
Worcester,Massachusetts,5,6
Alcona,Michigan,0,2
Alger,Michigan,0,0
Allegan,Michigan,10,8
Alpena,Michigan,6,5
Antrim,Michigan,12,10
Arenac,Michigan,8,2
Baraga,Michigan,0,0
Barry,Michigan,10,8
Bay,Michigan,10,3
Benzie,Michigan,0,10
Berrien,Michigan,4,3
Branch,Michigan,6,3
Calhoun,Michigan,4,3
Cass,Michigan,6,2
Charlevoix,Michigan,10,8
Cheboygan,Michigan,9,8
Chippewa,Michigan,2,12
Clare,Michigan,8,2
Clinton,Michigan,4,2
Crawford,Michigan,5,5
Delta,Michigan,10,8
Dickinson,Michigan,4,2
Eaton,Michigan,4,2
Emmet,Michigan,4,2
Genesee,Michigan,5,6
Gladwin,Michigan,10,8
Gogebic,Michigan,6,2
Grand Traverse,Michigan,10,2
Gratiot,Michigan,10,3
Hillsdale,Michigan,5,6
Houghton,Michigan,12,10
Huron,Michigan,1,8
Ingham,Michigan,9,2
Ionia,Michigan,6,3
Iosco,Michigan,5,1
Iron,Michigan,0,0
Isabella,Michigan,6,5
Jackson,Michigan,6,5
Kalamazoo,Michigan,6,3
Kalkaska,Michigan,6,3
Kent,Michigan,6,1
Keweenaw,Michigan,0,0
Lake,Michigan,12,10
Lapeer,Michigan,6,5
Leelanau,Michigan,12,10
Lenawee,Michigan,10,8
Livingston,Michigan,4,2
Luce,Michigan,12,10
Mackinac,Michigan,12,10
Macomb,Michigan,5,6
Manistee,Michigan,12,8
Marquette,Michigan,6,2
Mason,Michigan,12,10
Mecosta,Michigan,6,3
Menominee,Michigan,12,10
Midland,Michigan,10,2
Missaukee,Michigan,5,1
Monroe,Michigan,4,3
Montcalm,Michigan,10,7
Montmorency,Michigan,0,10
Muskegon,Michigan,6,1
Newaygo,Michigan,12,10
Oakland,Michigan,5,6
Oceana,Michigan,6,1
Ogemaw,Michigan,12,12
Ontonagon,Michigan,0,0
Osceola,Michigan,12,10
Oscoda,Michigan,1,8
Otsego,Michigan,6,5
Ottawa,Michigan,8,3
Presque Isle,Michigan,12,10
Roscommon,Michigan,12,10
Saginaw,Michigan,6,6
St. Clair,Michigan,4,2
St. Joseph,Michigan,10,2
Sanilac,Michigan,4,2
Schoolcraft,Michigan,12,10
Shiawassee,Michigan,4,5
Tuscola,Michigan,5,1
Van Buren,Michigan,9,1
Washtenaw,Michigan,6,5
Wayne,Michigan,5,6
Wexford,Michigan,10,2
Aitkin,Minnesota,0,10
Anoka,Minnesota,10,3
Becker,Minnesota,0,10
Beltrami,Minnesota,12,10
Benton,Minnesota,12,2
Big Stone,Minnesota,12,10
Blue Earth,Minnesota,12,9
Brown,Minnesota,10,2
Carlton,Minnesota,12,10
Carver,Minnesota,12,8
Cass,Minnesota,12,8
Chippewa,Minnesota,0,9
Chisago,Minnesota,8,1
Clay,Minnesota,6,1
Clearwater,Minnesota,12,10
Cook,Minnesota,0,0
Cottonwood,Minnesota,12,10
Crow Wing,Minnesota,10,8
Dakota,Minnesota,10,3
Dodge,Minnesota,12,10
Douglas,Minnesota,12,10
Faribault,Minnesota,12,10
Fillmore,Minnesota,10,8
Freeborn,Minnesota,12,10
Goodhue,Minnesota,12,8
Grant,Minnesota,0,0
Hennepin,Minnesota,6,1
Houston,Minnesota,12,10
Hubbard,Minnesota,0,0
Isanti,Minnesota,12,10
Itasca,Minnesota,12,2
Jackson,Minnesota,12,10
Kanabec,Minnesota,0,0
Kandiyohi,Minnesota,10,8
Kittson,Minnesota,0,12
Koochiching,Minnesota,12,10
Lac qui Parle,Minnesota,12,10
Lake,Minnesota,0,0
Lake of the Woods,Minnesota,0,0
Le Sueur,Minnesota,12,9
Lincoln,Minnesota,12,10
Lyon,Minnesota,12,10
McLeod,Minnesota,12,10
Mahnomen,Minnesota,12,3
Marshall,Minnesota,0,10
Martin,Minnesota,5,1
Meeker,Minnesota,12,10
Mille Lacs,Minnesota,0,1
Morrison,Minnesota,0,10
Mower,Minnesota,12,8
Murray,Minnesota,12,10
Nicollet,Minnesota,4,1
Nobles,Minnesota,4,3
Norman,Minnesota,0,10
Olmsted,Minnesota,9,3
Otter Tail,Minnesota,12,10
Pennington,Minnesota,0,10
Pine,Minnesota,12,10
Pipestone,Minnesota,12,10
Polk,Minnesota,12,8
Pope,Minnesota,0,0
Ramsey,Minnesota,9,1
Red Lake,Minnesota,0,10
Redwood,Minnesota,12,10
Renville,Minnesota,12,10
Rice,Minnesota,10,1
Rock,Minnesota,0,10
Roseau,Minnesota,13,10
St. Louis,Minnesota,10,2
Scott,Minnesota,8,1
Sherburne,Minnesota,12,8
Sibley,Minnesota,12,10
Stearns,Minnesota,12,2
Steele,Minnesota,12,10
Stevens,Minnesota,0,0
Swift,Minnesota,12,10
Todd,Minnesota,0,10
Traverse,Minnesota,12,10
Wabasha,Minnesota,12,10
Wadena,Minnesota,0,10
Waseca,Minnesota,12,10
Washington,Minnesota,10,3
Watonwan,Minnesota,12,10
Wilkin,Minnesota,5,5
Winona,Minnesota,6,5
Wright,Minnesota,10,2
Yellow Medicine,Minnesota,12,10
Adams,Mississippi,6,6
Alcorn,Mississippi,1,8
Amite,Mississippi,6,1
Attala,Mississippi,12,5
Benton,Mississippi,12,10
Bolivar,Mississippi,6,6
Calhoun,Mississippi,6,5
Carroll,Mississippi,6,6
Chickasaw,Mississippi,5,6
Choctaw,Mississippi,4,1
Claiborne,Mississippi,12,2
Clarke,Mississippi,6,6
Clay,Mississippi,4,3
Coahoma,Mississippi,4,3
Copiah,Mississippi,8,3
Covington,Mississippi,12,8
DeSoto,Mississippi,10,2
Forrest,Mississippi,6,1
Franklin,Mississippi,10,2
George,Mississippi,10,2
Greene,Mississippi,10,3
Grenada,Mississippi,12,2
Hancock,Mississippi,6,3
Harrison,Mississippi,9,2
Hinds,Mississippi,10,2
Holmes,Mississippi,5,1
Humphreys,Mississippi,5,1
Issaquena,Mississippi,0,0
Itawamba,Mississippi,4,5
Jackson,Mississippi,4,2
Jasper,Mississippi,4,3
Jefferson,Mississippi,12,9
Jefferson Davis,Mississippi,6,4
Jones,Mississippi,10,3
Kemper,Mississippi,10,6
Lafayette,Mississippi,6,3
Lamar,Mississippi,4,3
Lauderdale,Mississippi,5,6
Lawrence,Mississippi,12,8
Leake,Mississippi,6,5
Lee,Mississippi,4,3
Leflore,Mississippi,5,6
Lincoln,Mississippi,6,6
Lowndes,Mississippi,10,3
Madison,Mississippi,4,1
Marion,Mississippi,4,5
Marshall,Mississippi,4,3
Monroe,Mississippi,5,6
Montgomery,Mississippi,6,1
Neshoba,Mississippi,6,6
Newton,Mississippi,12,2
Noxubee,Mississippi,12,5
Oktibbeha,Mississippi,4,1
Panola,Mississippi,6,3
Pearl River,Mississippi,6,5
Perry,Mississippi,5,1
Pike,Mississippi,6,5
Pontotoc,Mississippi,4,2
Prentiss,Mississippi,10,2
Quitman,Mississippi,12,10
Rankin,Mississippi,9,2
Scott,Mississippi,12,5
Sharkey,Mississippi,12,10
Simpson,Mississippi,12,10
Smith,Mississippi,6,6
Stone,Mississippi,12,10
Sunflower,Mississippi,6,3
Tallahatchie,Mississippi,4,3
Tate,Mississippi,12,8
Tippah,Mississippi,5,6
Tishomingo,Mississippi,12,10
Tunica,Mississippi,5,1
Union,Mississippi,9,4
Walthall,Mississippi,12,10
Warren,Mississippi,4,3
Washington,Mississippi,4,3
Wayne,Mississippi,12,12
Webster,Mississippi,5,1
Wilkinson,Mississippi,5,6
Winston,Mississippi,12,9
Yalobusha,Mississippi,12,2
Yazoo,Mississippi,6,3
Adair,Missouri,12,10
Andrew,Missouri,12,10
Atchison,Missouri,12,10
Audrain,Missouri,0,10
Barry,Missouri,12,10
Barton,Missouri,0,0
Bates,Missouri,10,2
Benton,Missouri,12,10
Bollinger,Missouri,12,10
Boone,Missouri,10,2
Buchanan,Missouri,8,3
Butler,Missouri,12,10
Caldwell,Missouri,12,10
Callaway,Missouri,11,8
Camden,Missouri,10,8
Cape Girardeau,Missouri,10,8
Carroll,Missouri,0,10
Carter,Missouri,4,2
Cass,Missouri,10,2
Cedar,Missouri,12,10
Chariton,Missouri,12,11
Christian,Missouri,12,10
Clark,Missouri,13,12
Clay,Missouri,10,8
Clinton,Missouri,12,10
Cole,Missouri,10,8
Cooper,Missouri,12,10
Crawford,Missouri,12,10
Dade,Missouri,0,0
Dallas,Missouri,12,10
Daviess,Missouri,0,10
DeKalb,Missouri,12,10
Dent,Missouri,0,0
Douglas,Missouri,0,0
Dunklin,Missouri,10,2
Franklin,Missouri,4,2
Gasconade,Missouri,12,10
Gentry,Missouri,13,10
Greene,Missouri,1,8
Grundy,Missouri,0,0
Harrison,Missouri,12,10
Henry,Missouri,6,3
Hickory,Missouri,0,0
Holt,Missouri,0,12
Howard,Missouri,12,10
Howell,Missouri,12,10
Iron,Missouri,12,10
Jackson,Missouri,10,2
Jasper,Missouri,12,10
Jefferson,Missouri,10,2
Johnson,Missouri,12,10
Knox,Missouri,0,0
Laclede,Missouri,0,0
Lafayette,Missouri,10,2
Lawrence,Missouri,0,0
Lewis,Missouri,0,2
Lincoln,Missouri,4,2
Linn,Missouri,4,2
Livingston,Missouri,12,10
McDonald,Missouri,12,10
Macon,Missouri,12,10
Madison,Missouri,13,10
Maries,Missouri,12,11
Marion,Missouri,0,10
Mercer,Missouri,0,0
Miller,Missouri,0,10
Mississippi,Missouri,0,10
Moniteau,Missouri,12,10
Monroe,Missouri,0,0
Montgomery,Missouri,12,10
Morgan,Missouri,12,10
New Madrid,Missouri,12,10
Newton,Missouri,10,8
Nodaway,Missouri,12,10
Oregon,Missouri,13,10
Osage,Missouri,12,10
Ozark,Missouri,0,0
Pemiscot,Missouri,10,3
Perry,Missouri,12,10
Pettis,Missouri,12,9
Phelps,Missouri,12,10
Pike,Missouri,12,8
Platte,Missouri,12,10
Polk,Missouri,12,10
Pulaski,Missouri,4,2
Putnam,Missouri,0,0
Ralls,Missouri,12,10
Randolph,Missouri,12,10
Ray,Missouri,12,10
Reynolds,Missouri,12,10
Ripley,Missouri,12,10
St. Charles,Missouri,6,2
St. Clair,Missouri,13,10
Ste. Genevieve,Missouri,4,2
St. Francois,Missouri,10,8
St. Louis,Missouri,6,6
Saline,Missouri,12,8
Schuyler,Missouri,0,0
Scotland,Missouri,12,10
Scott,Missouri,10,2
Shannon,Missouri,0,0
Shelby,Missouri,12,10
Stoddard,Missouri,12,10
Stone,Missouri,12,10
Sullivan,Missouri,0,0
Taney,Missouri,10,8
Texas,Missouri,0,0
Vernon,Missouri,12,10
Warren,Missouri,12,10
Washington,Missouri,10,8
Wayne,Missouri,0,0
Webster,Missouri,12,10
Worth,Missouri,13,10
Wright,Missouri,12,10
St. Louis City,Missouri,6,6
Beaverhead,Montana,13,10
Big Horn,Montana,12,10
Blaine,Montana,0,0
Broadwater,Montana,12,10
Carbon,Montana,12,10
Carter,Montana,0,0
Cascade,Montana,10,8
Chouteau,Montana,0,0
Custer,Montana,0,0
Daniels,Montana,0,0
Dawson,Montana,0,0
Deer Lodge,Montana,12,10
Fallon,Montana,0,0
Fergus,Montana,0,0
Flathead,Montana,10,8
Gallatin,Montana,10,9
Garfield,Montana,0,0
Glacier,Montana,12,10
Golden Valley,Montana,12,10
Granite,Montana,0,0
Hill,Montana,12,10
Jefferson,Montana,12,10
Judith Basin,Montana,0,0
Lake,Montana,12,10
Lewis and Clark,Montana,12,10
Liberty,Montana,12,12
Lincoln,Montana,10,8
McCone,Montana,0,0
Madison,Montana,4,2
Meagher,Montana,12,12
Mineral,Montana,0,0
Missoula,Montana,10,8
Musselshell,Montana,12,10
Park,Montana,12,10
Petroleum,Montana,0,0
Phillips,Montana,0,0
Pondera,Montana,0,10
Powder River,Montana,0,0
Powell,Montana,0,0
Prairie,Montana,0,0
Ravalli,Montana,12,10
Richland,Montana,12,11
Roosevelt,Montana,12,10
Rosebud,Montana,0,0
Sanders,Montana,0,0
Sheridan,Montana,0,0
Silver Bow,Montana,12,10
Stillwater,Montana,13,10
Sweet Grass,Montana,0,0
Teton,Montana,0,0
Toole,Montana,5,6
Treasure,Montana,0,0
Valley,Montana,0,0
Wheatland,Montana,0,12
Wibaux,Montana,0,0
Yellowstone,Montana,10,9
Adams,Nebraska,10,2
Antelope,Nebraska,12,10
Arthur,Nebraska,0,0
Banner,Nebraska,0,0
Blaine,Nebraska,0,0
Boone,Nebraska,0,0
Box Butte,Nebraska,13,10
Boyd,Nebraska,0,0
Brown,Nebraska,0,0
Buffalo,Nebraska,6,3
Burt,Nebraska,12,10
Butler,Nebraska,0,10
Cass,Nebraska,12,10
Cedar,Nebraska,0,11
Chase,Nebraska,0,0
Cherry,Nebraska,13,12
Cheyenne,Nebraska,12,10
Clay,Nebraska,12,10
Colfax,Nebraska,12,2
Cuming,Nebraska,12,10
Custer,Nebraska,4,5
Dakota,Nebraska,0,5
Dawes,Nebraska,0,0
Dawson,Nebraska,12,2
Deuel,Nebraska,0,0
Dixon,Nebraska,0,10
Dodge,Nebraska,12,9
Douglas,Nebraska,9,1
Dundy,Nebraska,0,0
Fillmore,Nebraska,0,10
Franklin,Nebraska,12,10
Frontier,Nebraska,0,0
Furnas,Nebraska,0,10
Gage,Nebraska,6,3
Garden,Nebraska,0,0
Garfield,Nebraska,0,0
Gosper,Nebraska,12,10
Grant,Nebraska,0,0
Greeley,Nebraska,0,10
Hall,Nebraska,5,1
Hamilton,Nebraska,4,5
Harlan,Nebraska,0,0
Hayes,Nebraska,0,0
Hitchcock,Nebraska,0,0
Holt,Nebraska,0,0
Hooker,Nebraska,0,0
Howard,Nebraska,0,10
Jefferson,Nebraska,0,10
Johnson,Nebraska,12,10
Kearney,Nebraska,12,10
Keith,Nebraska,0,0
Keya Paha,Nebraska,0,0
Kimball,Nebraska,12,10
Knox,Nebraska,3,10
Lancaster,Nebraska,10,2
Lincoln,Nebraska,9,2
Logan,Nebraska,0,0
Loup,Nebraska,0,0
McPherson,Nebraska,0,0
Madison,Nebraska,5,1
Merrick,Nebraska,12,10
Morrill,Nebraska,0,10
Nance,Nebraska,0,10
Nemaha,Nebraska,3,10
Nuckolls,Nebraska,0,0
Otoe,Nebraska,12,10
Pawnee,Nebraska,0,0
Perkins,Nebraska,0,0
Phelps,Nebraska,12,10
Pierce,Nebraska,13,10
Platte,Nebraska,12,9
Polk,Nebraska,12,10
Red Willow,Nebraska,0,10
Richardson,Nebraska,0,0
Rock,Nebraska,0,0
Saline,Nebraska,0,8
Sarpy,Nebraska,12,9
Saunders,Nebraska,12,8
Scotts Bluff,Nebraska,12,10
Seward,Nebraska,10,3
Sheridan,Nebraska,0,0
Sherman,Nebraska,0,10
Sioux,Nebraska,0,0
Stanton,Nebraska,12,10
Thayer,Nebraska,0,0
Thomas,Nebraska,0,0
Thurston,Nebraska,0,10
Valley,Nebraska,0,10
Washington,Nebraska,10,8
Wayne,Nebraska,13,10
Webster,Nebraska,12,10
Wheeler,Nebraska,0,0
York,Nebraska,12,10
Churchill,Nevada,0,8
Clark,Nevada,6,3
Douglas,Nevada,12,10
Elko,Nevada,9,2
Esmeralda,Nevada,0,0
Eureka,Nevada,0,0
Humboldt,Nevada,6,5
Lander,Nevada,0,10
Lincoln,Nevada,0,0
Lyon,Nevada,12,12
Mineral,Nevada,0,10
Nye,Nevada,12,9
Pershing,Nevada,0,0
Storey,Nevada,0,0
Washoe,Nevada,4,3
White Pine,Nevada,12,10
Carson City,Nevada,10,8
Belknap,New Hampshire,12,10
Carroll,New Hampshire,12,10
Cheshire,New Hampshire,2,8
Coos,New Hampshire,12,10
Grafton,New Hampshire,12,9
Hillsborough,New Hampshire,9,3
Merrimack,New Hampshire,2,8
Rockingham,New Hampshire,10,2
Strafford,New Hampshire,2,2
Sullivan,New Hampshire,2,8
Atlantic,New Jersey,6,1
Bergen,New Jersey,5,6
Burlington,New Jersey,6,6
Camden,New Jersey,5,6
Cape May,New Jersey,6,5
Cumberland,New Jersey,6,1
Essex,New Jersey,5,6
Gloucester,New Jersey,6,6
Hudson,New Jersey,5,6
Hunterdon,New Jersey,6,6
Mercer,New Jersey,5,6
Middlesex,New Jersey,5,6
Monmouth,New Jersey,5,6
Morris,New Jersey,5,6
Ocean,New Jersey,5,6
Passaic,New Jersey,5,6
Salem,New Jersey,5,1
Somerset,New Jersey,5,6
Sussex,New Jersey,5,6
Union,New Jersey,5,6
Warren,New Jersey,5,6
Bernalillo,New Mexico,4,3
Catron,New Mexico,11,2
Chaves,New Mexico,10,8
Cibola,New Mexico,4,3
Colfax,New Mexico,12,10
Curry,New Mexico,12,10
De Baca,New Mexico,0,0
Dona Ana,New Mexico,10,7
Eddy,New Mexico,6,2
Grant,New Mexico,12,10
Guadalupe,New Mexico,0,10
Harding,New Mexico,0,12
Hidalgo,New Mexico,0,0
Lea,New Mexico,12,10
Lincoln,New Mexico,12,10
Los Alamos,New Mexico,12,10
Luna,New Mexico,2,8
McKinley,New Mexico,5,6
Mora,New Mexico,0,0
Otero,New Mexico,12,8
Quay,New Mexico,0,2
Rio Arriba,New Mexico,12,12
Roosevelt,New Mexico,12,10
Sandoval,New Mexico,4,2
San Juan,New Mexico,6,6
San Miguel,New Mexico,12,10
Santa Fe,New Mexico,12,9
Sierra,New Mexico,0,0
Socorro,New Mexico,10,2
Taos,New Mexico,12,10
Torrance,New Mexico,12,8
Union,New Mexico,0,10
Valencia,New Mexico,12,9
Albany,New York,6,5
Allegany,New York,9,7
Bronx,New York,0,0
Broome,New York,6,1
Cattaraugus,New York,12,10
Cayuga,New York,10,8
Chautauqua,New York,10,2
Chemung,New York,10,8
Chenango,New York,12,10
Clinton,New York,10,2
Columbia,New York,6,1
Cortland,New York,12,10
Delaware,New York,4,2
Dutchess,New York,6,5
Erie,New York,6,6
Essex,New York,12,10
Franklin,New York,12,10
Fulton,New York,12,2
Genesee,New York,6,2
Greene,New York,10,5
Hamilton,New York,13,10
Herkimer,New York,6,3
Jefferson,New York,12,10
Kings,New York,0,0
Lewis,New York,12,10
Livingston,New York,6,3
Madison,New York,6,3
Monroe,New York,6,1
Montgomery,New York,8,2
Nassau,New York,5,6
New York,New York,5,6
Niagara,New York,4,5
Oneida,New York,4,3
Onondaga,New York,10,3
Ontario,New York,10,2
Orange,New York,5,6
Orleans,New York,4,6
Oswego,New York,10,8
Otsego,New York,4,2
Putnam,New York,6,5
Queens,New York,0,0
Rensselaer,New York,6,3
Richmond,New York,0,0
Rockland,New York,5,6
St. Lawrence,New York,12,9
Saratoga,New York,9,2
Schenectady,New York,6,5
Schoharie,New York,12,10
Schuyler,New York,12,10
Seneca,New York,12,10
Steuben,New York,6,5
Suffolk,New York,5,6
Sullivan,New York,5,1
Tioga,New York,4,5
Tompkins,New York,12,10
Ulster,New York,6,5
Warren,New York,12,2
Washington,New York,6,3
Wayne,New York,10,8
Westchester,New York,5,6
Wyoming,New York,6,3
Yates,New York,10,2
Alamance,North Carolina,10,2
Alexander,North Carolina,12,10
Alleghany,North Carolina,12,10
Anson,North Carolina,12,12
Ashe,North Carolina,12,10
Avery,North Carolina,0,0
Beaufort,North Carolina,12,10
Bertie,North Carolina,6,1
Bladen,North Carolina,12,8
Brunswick,North Carolina,10,8
Buncombe,North Carolina,10,2
Burke,North Carolina,4,1
Cabarrus,North Carolina,6,3
Caldwell,North Carolina,12,9
Camden,North Carolina,0,10
Carteret,North Carolina,10,8
Caswell,North Carolina,12,8
Catawba,North Carolina,10,7
Chatham,North Carolina,4,3
Cherokee,North Carolina,10,7
Chowan,North Carolina,12,10
Clay,North Carolina,12,10
Cleveland,North Carolina,10,8
Columbus,North Carolina,6,1
Craven,North Carolina,10,3
Cumberland,North Carolina,8,3
Currituck,North Carolina,12,10
Dare,North Carolina,10,8
Davidson,North Carolina,10,2
Davie,North Carolina,4,3
Duplin,North Carolina,12,3
Durham,North Carolina,10,3
Edgecombe,North Carolina,9,3
Forsyth,North Carolina,10,2
Franklin,North Carolina,6,5
Gaston,North Carolina,10,7
Gates,North Carolina,12,8
Graham,North Carolina,0,0
Granville,North Carolina,4,3
Greene,North Carolina,12,2
Guilford,North Carolina,6,3
Halifax,North Carolina,10,2
Harnett,North Carolina,6,3
Haywood,North Carolina,12,10
Henderson,North Carolina,6,5
Hertford,North Carolina,5,1
Hoke,North Carolina,12,9
Hyde,North Carolina,0,10
Iredell,North Carolina,10,2
Jackson,North Carolina,12,9
Johnston,North Carolina,6,1
Jones,North Carolina,6,5
Lee,North Carolina,12,8
Lenoir,North Carolina,8,3
Lincoln,North Carolina,12,10
McDowell,North Carolina,10,7
Macon,North Carolina,10,1
Madison,North Carolina,0,10
Martin,North Carolina,12,2
Mecklenburg,North Carolina,10,3
Mitchell,North Carolina,12,10
Montgomery,North Carolina,6,1
Moore,North Carolina,4,2
Nash,North Carolina,10,2
New Hanover,North Carolina,10,8
Northampton,North Carolina,4,5
